x;y
130;130
180;130
130;180
180;180
580;130
630;130
580;180
630;180
580;580
630;580
580;630
630;630
130;580
180;580
130;630
180;630
180;380
230;380
280;380
330;380
380;180
380;230
380;280
380;330
580;380
530;380
480;380
430;380
380;580
380;530
380;480
380;430
130;330
180;330
230;330
280;330
330;330
330;280
330;230
330;180
330;130
380;130
430;130
430;180
430;230
430;280
430;330
480;330
530;330
580;330
630;330
630;380
630;430
580;430
530;430
480;430
430;430
430;480
430;530
430;580
430;630
380;630
330;630
330;580
330;530
330;480
330;430
280;430
230;430
180;430
130;430
130;380
